artist_name,avg_sexist_prob,num_songs_total,num_songs_sexist,pct_songs_sexist_weighted,pct_songs_sexist,pct_songs_sexist_weighted_round
KuchenTV,0.9991014450788498,8,8,83.33333333333334,100.0,83.33
Johnny Diggson,0.9980110675096512,8,8,83.33333333333334,100.0,83.33
Lance Butters,0.9978148564696312,8,8,83.33333333333334,100.0,83.33
Gzuz,0.997565820813179,8,8,83.33333333333334,100.0,83.33
Finch,0.9975457265973091,8,8,83.33333333333334,100.0,83.33
Corus 86,0.99688920378685,2,2,66.66666666666666,100.0,66.67
Sultan Tunc,0.9965835809707642,1,1,60.0,100.0,60.0
Boba Fettt,0.9959299087524414,5,5,77.77777777777779,100.0,77.78
Dicht & Ergreifend,0.995834119617939,8,8,83.33333333333334,100.0,83.33
Kollegah,0.9955345913767815,8,8,83.33333333333334,100.0,83.33
ERRdeKa,0.9944202601909637,8,8,83.33333333333334,100.0,83.33
Bacapon,0.9940399527549744,3,3,71.42857142857143,100.0,71.43
Die Bandbreite,0.992290993531545,3,3,71.42857142857143,100.0,71.43
Albi,0.9920148253440857,8,8,83.33333333333334,100.0,83.33
Creutzfeld & Jakob,0.9918342977762222,8,8,83.33333333333334,100.0,83.33
Shiml,0.9915751963853836,8,8,83.33333333333334,100.0,83.33
Kurdo,0.9907995536923409,8,8,83.33333333333334,100.0,83.33
Lityway & Yungfijay,0.9902150556445122,8,8,83.33333333333334,100.0,83.33
Disarstar,0.9896719455718994,8,8,83.33333333333334,100.0,83.33
Play69,0.9880772829055786,8,8,83.33333333333334,100.0,83.33
Rödelheim Hartreim Projekt,0.9879201576113701,8,8,83.33333333333334,100.0,83.33
Playboy 51,0.986824224392573,6,6,80.0,100.0,80.0
Sääftig,0.9817406088113785,8,8,83.33333333333334,100.0,83.33
Der Asiate,0.98011664301157,8,8,83.33333333333334,100.0,83.33
Lena Stoehrfaktor,0.9765547588467598,8,8,83.33333333333334,100.0,83.33
RAF Camora,0.9743812531232834,8,8,83.33333333333334,100.0,83.33
DJ Reckless,0.9719267934560776,8,8,83.33333333333334,100.0,83.33
Beyazz,0.9706812724471092,8,8,83.33333333333334,100.0,83.33
Kurzer Prozess,0.9704138517379761,5,5,77.77777777777779,100.0,77.78
Karate Andi,0.9669629037380219,8,8,83.33333333333334,100.0,83.33
Schlagzeiln,0.9552123099565506,8,8,83.33333333333334,100.0,83.33
Sinan-G,0.9491104483604431,8,8,83.33333333333334,100.0,83.33
Credibil,0.9450225457549095,8,8,83.33333333333334,100.0,83.33
Äi-Tiem,0.944140687584877,8,8,83.33333333333334,100.0,83.33
Noah,0.938255064189434,8,8,83.33333333333334,100.0,83.33
Sabrina Setlur,0.9341685324907303,8,8,83.33333333333334,100.0,83.33
BRKN,0.9289850890636444,8,8,83.33333333333334,100.0,83.33
Chabezo,0.918691873550415,8,7,75.0,87.5,75.0
Albino,0.9119424223899841,8,8,83.33333333333334,100.0,83.33
Timi Hendrix,0.9025510549545288,8,7,75.0,87.5,75.0
Fourty,0.9004171043634415,8,8,83.33333333333334,100.0,83.33
Peter Fox,0.8943126425147057,8,7,75.0,87.5,75.0
Monk,0.891552159562707,8,7,75.0,87.5,75.0
Bluthund,0.8877609111368656,8,7,75.0,87.5,75.0
Olexesh,0.8868361134082079,8,7,75.0,87.5,75.0
Tiavo,0.8793401643633842,8,8,83.33333333333334,100.0,83.33
Prezident,0.8756661722436547,8,7,75.0,87.5,75.0
Captain Gips,0.875126987695694,8,7,75.0,87.5,75.0
Alligatoah,0.8734607435762882,8,7,75.0,87.5,75.0
Nimo,0.870982151478529,8,7,75.0,87.5,75.0
DJ Stylewarz,0.8705812329426408,8,7,75.0,87.5,75.0
Sookee,0.8703838279470801,8,7,75.0,87.5,75.0
Badmómzjay,0.8533399701118469,8,8,83.33333333333334,100.0,83.33
Kool Savas,0.8526643305085599,8,7,75.0,87.5,75.0
Fard,0.8468769704923034,8,7,75.0,87.5,75.0
Apache 207,0.8449142463505268,8,7,75.0,87.5,75.0
Roey Marquis II.,0.8448004797101021,8,7,75.0,87.5,75.0
Mr. Schnabel,0.8370040766894817,8,7,75.0,87.5,75.0
Anarchist Academy,0.8347431421279907,3,3,71.42857142857143,100.0,71.43
Beginner,0.8270459773484617,8,7,75.0,87.5,75.0
M.I.K.I,0.8179125068709254,8,7,75.0,87.5,75.0
Lil Lano,0.8135718572884798,8,6,66.66666666666666,75.0,66.67
Symba,0.8087161406874657,8,6,66.66666666666666,75.0,66.67
Soko Crew,0.7908525839447975,8,7,75.0,87.5,75.0
Lemur,0.7866521556279622,8,6,66.66666666666666,75.0,66.67
Kid Kapri,0.7601111400872469,8,6,66.66666666666666,75.0,66.67
Taichi,0.7471012715250254,8,6,66.66666666666666,75.0,66.67
O’Bros,0.7310440926812589,8,6,66.66666666666666,75.0,66.67
Harry Quintana,0.7295776754617691,8,6,66.66666666666666,75.0,66.67
Kalusha,0.6828794628381729,2,1,50.0,50.0,50.0
Fayan,0.6616029512370005,8,6,66.66666666666666,75.0,66.67
Manny Marc,0.6148820599191822,8,5,58.333333333333336,62.5,58.33
Salim Montari,0.6075533258263022,8,5,58.333333333333336,62.5,58.33
Junge Dichter und Denker,0.604599803686142,8,5,58.333333333333336,62.5,58.33
