song_title,song_id,artists,is_sexist,main_artist,artist_name,pct_songs_sexist_weighted,avg_sexist_prob
Boykott Lovelock,ea91666e-3e0f-4dda-bb2b-6e718a81a8e5,KuchenTV,1,KuchenTV,KuchenTV,83.33333333333334,0.9991014450788498
Das hat mit Islam nichts zu tun,27a7bd43-bbfb-48a5-9e6d-47f06251bf98,KuchenTV,1,KuchenTV,KuchenTV,83.33333333333334,0.9991014450788498
Ich bin der Nazi,43bc3676-1745-4f02-83a6-471d82f63727,KuchenTV,1,KuchenTV,KuchenTV,83.33333333333334,0.9991014450788498
Kanalzerstörer,98c3676f-55bb-4a24-af5a-81288bd8edfe,KuchenTV,1,KuchenTV,KuchenTV,83.33333333333334,0.9991014450788498
RevedTV Disstrack,a0b7dd43-4e2f-47ae-b9d3-b06c62f4c574,KuchenTV,1,KuchenTV,KuchenTV,83.33333333333334,0.9991014450788498
Vs. Aslan44 - [Vorrunde 1 - VBT 2015],c7f58612-c144-4b29-b9bb-a83f3225712e,KuchenTV,1,KuchenTV,KuchenTV,83.33333333333334,0.9991014450788498
Wir sind die Kanalzerstörer,8c165447-963e-4fe5-9d78-8c250d641450,KuchenTV,1,KuchenTV,KuchenTV,83.33333333333334,0.9991014450788498
Wokebubble Diss,fd0fc159-5851-443a-b2b7-7b02656bd5f2,KuchenTV,1,KuchenTV,KuchenTV,83.33333333333334,0.9991014450788498
Beschissene Songs,a28c6d44-8549-44d6-bb2b-3fff93b92ea6,Johnny Diggson,1,Johnny Diggson,Johnny Diggson,83.33333333333334,0.9980110675096512
Fame/ BBM ist die Gang,5314c6b4-dc3f-4c0d-9286-e86e4a4306d7,Johnny Diggson,1,Johnny Diggson,Johnny Diggson,83.33333333333334,0.9980110675096512
Mobbing Hochprofessionell,f83735f2-ea0d-49f1-8cb4-6ab29dd90490,Johnny Diggson,1,Johnny Diggson,Johnny Diggson,83.33333333333334,0.9980110675096512
Phantombild,801a32cf-1260-4ffa-a8c6-897ac44d750e,Johnny Diggson,1,Johnny Diggson,Johnny Diggson,83.33333333333334,0.9980110675096512
Vs. Casa [Platz 3 Battle JBB 2015],78dbfa7e-7a1e-4b31-8a2a-b5fafeb3c77d,Johnny Diggson,1,Johnny Diggson,Johnny Diggson,83.33333333333334,0.9980110675096512
Vs. Neo [Halbfinale JBB 2015],c5179f73-349e-4eb1-b834-92369eb4e224,Johnny Diggson,1,Johnny Diggson,Johnny Diggson,83.33333333333334,0.9980110675096512
Vs. Timatic [4tel-Finale JBB 2015],d67856a2-0c24-4332-b966-583e42c2148f,Johnny Diggson,1,Johnny Diggson,Johnny Diggson,83.33333333333334,0.9980110675096512
World Diggson,a2e1730c-86a3-4a7f-92dc-97d39ebbf0d5,Johnny Diggson,1,Johnny Diggson,Johnny Diggson,83.33333333333334,0.9980110675096512
30,d0cfe1f2-750f-4b8f-8458-396439aea2d3,Lance Butters,1,Lance Butters,Lance Butters,83.33333333333334,0.9978148564696312
ANGST,a1b87ed5-c77f-4f81-ba86-f8663412ed92,Lance Butters,1,Lance Butters,Lance Butters,83.33333333333334,0.9978148564696312
Blaow,39e3a595-1eaa-4f5a-b82d-e9cfbed8e839,Lance Butters,1,Lance Butters,Lance Butters,83.33333333333334,0.9978148564696312
Cool Story,d52eceb0-25da-45a3-b9e1-1658259cb096,Lance Butters,1,Lance Butters,Lance Butters,83.33333333333334,0.9978148564696312
Deal with It,2cf6fda4-a7cb-40ce-bf59-197bc50baad9,Lance Butters,1,Lance Butters,Lance Butters,83.33333333333334,0.9978148564696312
Dämliche Faggots,35046757-1b05-440f-a1ec-40c788eaa79e,Lance Butters,1,Lance Butters,Lance Butters,83.33333333333334,0.9978148564696312
Space Invader,55a43fee-8d45-4026-b7cc-f35276d79854,Lance Butters,1,Lance Butters,Lance Butters,83.33333333333334,0.9978148564696312
​futureshit,c25a2c2f-c5b2-4783-9ae6-3ac3365af20b,Lance Butters,1,Lance Butters,Lance Butters,83.33333333333334,0.9978148564696312
CL500,574583e8-560a-494a-86b1-c32d3112f45e,Gzuz,1,Gzuz,Gzuz,83.33333333333334,0.997565820813179
Donuts,8bd39928-b4ea-413d-a975-f8583985ecff,Gzuz,1,Gzuz,Gzuz,83.33333333333334,0.997565820813179
Ebbe & Flut,e563f161-13fd-4882-ad95-0b8780d264f1,Gzuz,1,Gzuz,Gzuz,83.33333333333334,0.997565820813179
Optimal,8e8c6973-3831-4ce5-adc6-f225cfd1e56d,Gzuz,1,Gzuz,Gzuz,83.33333333333334,0.997565820813179
Paff Paff und weiter,2db989df-bea4-452b-80cd-e06f3d13732c,Gzuz,1,Gzuz,Gzuz,83.33333333333334,0.997565820813179
Prollz,88cd1a39-2720-49f9-8aa0-68191ebf68a5,Gzuz,1,Gzuz,Gzuz,83.33333333333334,0.997565820813179
Rückspiegel,"9a1ab45c-f6ce-4cd2-b940-b6f28a18c8b6, 7d4636f1-5d0f-4423-9a2d-d0685374c074","Gzuz, Sinan-G",1,Gzuz,Gzuz,83.33333333333334,0.997565820813179
Schnapp!,eb1178fb-0f64-44e8-aed9-f6298aad6dac,Gzuz,1,Gzuz,Gzuz,83.33333333333334,0.997565820813179
Eskalation,aab59be6-4414-41e5-855b-1130e9c6304f,Finch,1,Finch,Finch,83.33333333333334,0.9975457265973091
Fick mich Finch (2018),af9e5422-b5ae-448f-b400-53b9dd41a6bd,Finch,1,Finch,Finch,83.33333333333334,0.9975457265973091
Kai hat frei,f434ba0e-8745-42bf-8c7a-1bde55ee568d,Finch,1,Finch,Finch,83.33333333333334,0.9975457265973091
Ledersklave Frederik,df841e60-55c3-4f5b-b17f-f621df788f6b,Finch,1,Finch,Finch,83.33333333333334,0.9975457265973091
Liebe ist...,1415daa6-db73-44c1-abf3-f1526c8d5929,Finch,1,Finch,Finch,83.33333333333334,0.9975457265973091
Onkelz Poster,8621572f-327c-43d8-88de-c5ebad7e39ea,Finch,1,Finch,Finch,83.33333333333334,0.9975457265973091
Sex & Gewalt,159b862f-2e38-4e7b-b173-dda2237001df,Finch,1,Finch,Finch,83.33333333333334,0.9975457265973091
WENN DU DUMM BiST,58bfd01d-f0c7-4bdb-893a-9fd0f418a606,Finch,1,Finch,Finch,83.33333333333334,0.9975457265973091
Bierfahrerbeifahrer,ab6500da-bdbc-4f18-a771-5694fa30b919,Dicht & Ergreifend,1,Dicht & Ergreifend,Dicht & Ergreifend,83.33333333333334,0.995834119617939
Dampf der Giganten,3c6581ff-e34a-4dd5-9f14-8ab883926942,Dicht & Ergreifend,1,Dicht & Ergreifend,Dicht & Ergreifend,83.33333333333334,0.995834119617939
Ghetto mi nix o,8b4f69ac-c6a7-4408-8267-099b2f2eef26,Dicht & Ergreifend,1,Dicht & Ergreifend,Dicht & Ergreifend,83.33333333333334,0.995834119617939
Grias de God scheene Gegn’d,180a0e72-c6b4-4887-bc75-701f1797e8bb,Dicht & Ergreifend,1,Dicht & Ergreifend,Dicht & Ergreifend,83.33333333333334,0.995834119617939
Meier & Wimmer,8a2edefd-a024-429c-979f-5b2d60400151,Dicht & Ergreifend,1,Dicht & Ergreifend,Dicht & Ergreifend,83.33333333333334,0.995834119617939
Ohne uns (Extended Version),bb41224e-6ea7-4ee8-a6af-4f5e2b47eb3f,Dicht & Ergreifend,1,Dicht & Ergreifend,Dicht & Ergreifend,83.33333333333334,0.995834119617939
Wer schwankt hod mehr vom Weg,6a2290b1-517a-4d31-a6fe-751a3d9588e9,Dicht & Ergreifend,1,Dicht & Ergreifend,Dicht & Ergreifend,83.33333333333334,0.995834119617939
Weydundagang,ce045f5a-3e41-48c6-a5d1-3457cabf10ea,Dicht & Ergreifend,1,Dicht & Ergreifend,Dicht & Ergreifend,83.33333333333334,0.995834119617939
Alpha,81e6f59e-3e46-4da3-9be6-6e1c75590be6,Kollegah,1,Kollegah,Kollegah,83.33333333333334,0.9955345913767815
Gamechanger,758c5843-eed9-4734-89a9-744ea6872c7b,Kollegah,1,Kollegah,Kollegah,83.33333333333334,0.9955345913767815
Genozid,a9ea2216-18af-45a2-a49f-fd9ee98e1b0b,Kollegah,1,Kollegah,Kollegah,83.33333333333334,0.9955345913767815
Halleluja,d94c1eca-74c0-4494-aa94-af350a25ff1f,Kollegah,1,Kollegah,Kollegah,83.33333333333334,0.9955345913767815
King,63f84264-5e47-4266-a94d-917f8f78ee94,Kollegah,1,Kollegah,Kollegah,83.33333333333334,0.9955345913767815
Legacy,74f383a7-9438-484e-968c-fd751a90c365,Kollegah,1,Kollegah,Kollegah,83.33333333333334,0.9955345913767815
Mondfinsternis,4f511ca4-be40-458a-9303-8f0f178f1f47,Kollegah,1,Kollegah,Kollegah,83.33333333333334,0.9955345913767815
Stiernackenkommando,ac7bc6ac-7e7a-4579-b4f9-98f197ff7858,Kollegah,1,Kollegah,Kollegah,83.33333333333334,0.9955345913767815
Allein,7ba37ded-ac98-4f77-8ad9-cc0308bd9ed1,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Atme ein atme aus,ae811a17-4521-4117-872d-5553b8a1bcf6,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Der perfekte Beat,deb1fdc3-282d-4157-aa2b-1f25b7d6123a,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Diggi,cc5a38e8-9b6b-4693-8bec-8cd72105b32f,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Frau für eine Nacht,a240475b-b640-4c96-8c91-1764590ffeba,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Ja ich bin Hipster,4476e4b9-e972-4990-8a35-e41b3f88ae7b,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Lass mich los,29c3115a-6984-4fca-8d39-f0ac5f3a5471,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Stroboskop,d1c3f67a-50d9-4f1f-be78-0264b5293a12,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Albanais,848aec47-9a38-4cd9-9355-c90935197dcf,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
Bleiben wach,954a1aea-342a-4204-a6ad-33b1f5330a50,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
CKPU,178f4fef-0d8b-46c4-b621-6de5f13c4ad7,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
