Schnittmenge aus Top30 BERT & Lexikon,Nur in Top30 BERT,Nur in Top30 Lexikon
Karate Andi,Shiml,Lil Lano
KuchenTV,Play69,Harry Quintana
Der Asiate,ERRdeKa,Sookee
Johnny Diggson,Lityway & Yungfijay,Manny Marc
Finch,Kurzer Prozess,Äi-Tiem
Lance Butters,Albi,Badmómzjay
Beyazz,Playboy 51,Taichi
Rödelheim Hartreim Projekt,Creutzfeld & Jakob,Monk
Corus 86,Kurdo,Salim Montari
Bacapon,Disarstar,Kool Savas
Boba Fettt,Dicht & Ergreifend,Apache 207
DJ Reckless,Die Bandbreite,Alligatoah
Gzuz,Sääftig,Sinan-G
Kollegah,Lena Stoehrfaktor,F.R.
,RAF Camora,Nimo
,Sultan Tunc,Timi Hendrix
